,x,y
0,0.0,0.0
1,0.002,0.9928004189315218
2,0.004,1.40369025405116
3,0.006,1.717891924331328
4,0.008,1.9814489767569148
5,0.01,2.212101310108445
6,0.012,2.4188867705278354
7,0.014,2.6071310731919426
8,0.016,2.7802714725254143
9,0.018000000000000002,2.9406698023538667
10,0.02,3.0900250836772636
11,0.022,3.2296031435058064
12,0.024,3.360373579503883
13,0.026000000000000002,3.4830960138636957
14,0.028,3.5983768381534986
15,0.03,3.706707912579518
16,0.032,3.8084937668968615
17,0.034,3.9040712166694065
18,0.036000000000000004,3.9937238262218724
19,0.038,4.077692779447296
20,0.04,4.156185190020853
21,0.042,4.229380549945907
22,0.044,4.297435800606679
23,0.046,4.360489368421224
24,0.048,4.4186644111139195
25,0.05,4.472071454379438
26,0.052000000000000005,4.520810552212137
27,0.054,4.564973071013612
28,0.056,4.60464317359087
29,0.058,4.639899061553922
30,0.06,4.670814021550275
31,0.062,4.697457310956506
32,0.064,4.71989491119555
33,0.066,4.738190171138868
34,0.068,4.7524043586353875
35,0.07,4.76259713476534
36,0.07200000000000001,4.768826962709451
37,0.074,4.771151460979028
38,0.076,4.769627709042996
39,0.078,4.764312512015167
40,0.08,4.755262629956139
41,0.082,4.74253497644434
42,0.084,4.726186790334512
43,0.08600000000000001,4.706275784018687
44,0.088,4.682860271006367
45,0.09,4.655999275227475
46,0.092,4.625752624118202
47,0.094,4.592181027262561
48,0.096,4.5553461421209125
49,0.098,4.51531062817395
50,0.1,4.472138190638797
51,0.10200000000000001,4.425893614767811
52,0.10400000000000001,4.376642791617223
53,0.106,4.32445273606631
54,0.108,4.269391597777454
55,0.11,4.211528665709602
56,0.112,4.150934366730307
57,0.114,4.087680258813985
58,0.116,4.0218390192638696
59,0.11800000000000001,3.9534844283514445
60,0.12,3.8826913487298325
61,0.122,3.809535700944242
62,0.124,3.734094435334113
63,0.126,3.6564455005964462
64,0.128,3.5766678092575344
65,0.13,3.494841200281176
66,0.132,3.4110463990243245
67,0.134,3.3253649747359155
68,0.136,3.2378792957816334
69,0.138,3.1486724827652424
70,0.14,3.0578283597069182
71,0.14200000000000002,2.965431403429659
72,0.14400000000000002,2.87156669129643
73,0.146,2.7763198474334896
74,0.148,2.679776987568639
75,0.15,2.5820246626070835
76,0.152,2.483149801062493
77,0.154,2.3832396504557236
78,0.156,2.282381717789482
79,0.158,2.180663709203242
80,0.16,2.078173468908926
81,0.162,1.974998917504763
82,0.164,1.871227989761567
83,0.166,1.7669485719728528
84,0.168,1.662248438957731
85,0.17,1.5572151908029506
86,0.17200000000000001,1.4519361894282587
87,0.17400000000000002,1.3464984950571572
88,0.176,1.2409888026730471
89,0.178,1.1354933785388364
90,0.18,1.030097996856382
91,0.182,0.9248878766401607
92,0.184,0.8199476188781399
93,0.186,0.7153611440509102
94,0.188,0.6112116300787814
95,0.19,0.5075814507648067
96,0.192,0.4045521148002446
97,0.194,0.3022042053974815
98,0.196,0.20061732061385096
99,0.198,0.09987001442837395
100,0.2,3.973863195741999e-05
101,0.202,-0.09879721440991389
102,0.20400000000000001,-0.19656576806443152
103,0.20600000000000002,-0.2931921167525622
104,0.20800000000000002,-0.3886037802293528
105,0.21,-0.48272965677038804
106,0.212,-0.5755000752127233
107,0.214,-0.6668468458002315
108,0.216,-0.75670330978476
109,0.218,-0.8450043877360869
110,0.22,-0.9316866265151698
111,0.222,-1.0166882448667591
112,0.224,-1.0999491775890797
113,0.226,-1.1814111182397737
